Day, Count
1, 6
2, 6
3, 8
4, 5
5, 6
6, 6
7, 2
8, 3
9, 3
10, 1
11, 1
12, 1
13, 0
14, 0
15, 2
16, 1
17, 0
18, 1
19, 0
20, 0
21, 0
22, 0
23, 1
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
