Day, Count
1, 0
2, 2
3, 1
4, 0
5, 0
6, 4
7, 2
8, 3
9, 4
10, 3
11, 1
12, 2
13, 0
14, 0
15, 0
16, 1
17, 0
18, 1
19, 1
20, 0
21, 0
22, 2
23, 2
24, 1
25, 2
26, 1
27, 0
28, 0
29, 0
30, 1
