Day, Count
1, 1
2, 0
3, 1
4, 2
5, 7
6, 4
7, 8
8, 3
9, 3
10, 0
11, 2
12, 0
13, 2
14, 1
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 1
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
