Day, Count
1, 0
2, 1
3, 1
4, 0
5, 1
6, 1
7, 0
8, 1
9, 0
10, 2
11, 7
12, 4
13, 0
14, 1
15, 1
16, 2
17, 1
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 1
29, 0
30, 0
