Day, Count
1, 2
2, 0
3, 3
4, 4
5, 6
6, 3
7, 8
8, 2
9, 2
10, 6
11, 3
12, 1
13, 1
14, 2
15, 0
16, 1
17, 0
18, 0
19, 0
20, 0
21, 0
22, 1
23, 0
24, 2
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
