Day, Count
1, 2
2, 4
3, 2
4, 9
5, 8
6, 4
7, 4
8, 2
9, 4
10, 1
11, 2
12, 0
13, 1
14, 0
15, 2
16, 0
17, 0
18, 0
19, 1
20, 1
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
