Day, Count
1, 1
2, 3
3, 3
4, 2
5, 1
6, 3
7, 1
8, 3
9, 1
10, 2
11, 1
12, 0
13, 1
14, 0
15, 0
16, 0
17, 1
18, 1
19, 2
20, 2
21, 5
22, 2
23, 4
24, 4
25, 4
26, 5
27, 0
28, 0
29, 0
30, 0
