Day, Count
1, 1
2, 1
3, 2
4, 7
5, 3
6, 2
7, 2
8, 3
9, 6
10, 2
11, 3
12, 4
13, 4
14, 4
15, 0
16, 0
17, 1
18, 0
19, 0
20, 1
21, 1
22, 1
23, 2
24, 1
25, 0
26, 1
27, 0
28, 0
29, 0
30, 0
