Day, Count
1, 5
2, 6
3, 6
4, 11
5, 5
6, 6
7, 7
8, 7
9, 3
10, 4
11, 2
12, 1
13, 3
14, 0
15, 1
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
