Day, Count
1, 0
2, 1
3, 1
4, 2
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 1
13, 2
14, 1
15, 1
16, 2
17, 0
18, 0
19, 1
20, 0
21, 2
22, 1
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
