Day, Count
1, 0
2, 1
3, 3
4, 3
5, 1
6, 3
7, 4
8, 4
9, 4
10, 4
11, 2
12, 3
13, 1
14, 2
15, 4
16, 5
17, 3
18, 4
19, 1
20, 0
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 0
29, 0
30, 0
