-22,0
-21,0
-20,0
-19,0
-18,0
-17,0
-16,5
-15,5
-14,1871
-13,1871
-12,1871
-11,1871
-10,1871
-9,1871
-8,1871
-7,2905
-6,2905
-5,2905
-4,2905
-3,2905
-2,2905
-1,2905
0,2905
1,2905
2,4105
3,5019
4,5019
5,5019
6,5019
7,7732
8,4008
9,4008
10,4008
11,4008
12,4008
13,4008
14,5302
15,5302
16,5302
17,5302
18,5302
19,5302
20,5302
21,8579
22,8579
23,8579
24,8579
25,8579
26,8579
27,8579
28,8357
29,8357
30,8357
31,8357
32,8357
33,8357
34,8357
35,7949
36,7949
37,7949
38,7949
39,7949
40,7949
41,7949
42,7949
43,6172
44,6172
45,6172
46,6172
47,6172
48,6172
49,4245
50,4245
51,4245
52,4245
53,4245
54,4245
55,4245
56,9457
57,9457
58,9457
59,9457
60,9457
61,9457
62,9457
63,14179
64,14179
65,14179
66,14179
67,14179
68,14179
69,14179
70,26964
71,26964
72,29133
73,30434
74,31274
75,33322
76,36668
77,38753
78,39908
79,41976
80,45546
81,51540
82,56632
83,62826
84,65736
85,66925
86,70805
87,76338
88,86452
89,92385
90,96165
91,97717
92,99608
93,102899
94,107134
95,112420
96,118988
97,120044
98,120723
99,129849
100,134643
101,140518
102,148204
103,154658
104,160064
105,162963
106,166520
107,170358
108,174923
109,181640
110,189857
111,194598
112,196281
113,199398
114,202435
115,205281
116,209617
117,214186
118,216666
119,217861
120,219996
121,222883
122,227306
123,234598
124,242886
125,242886
126,248459
127,251872
128,256720
129,265031
130,273867
131,284214
132,289778
133,291199
134,296858
135,305461
136,316452
137,329063
138,340067
139,347853
140,349984
141,351827
142,357590
143,366128
144,375365
145,383412
146,390856
147,393783
148,398959
149,405480
150,413166
151,422966
152,429607
153,431953
154,440016
155,442865
156,449933
157,448591
158,446362
159,444483
160,442020
161,440977
162,438932
163,433782
164,426495
165,416100
166,405556
167,398844
168,396733
169,390801
170,380908
171,369986
172,358589
173,345188
174,333200
175,327987
176,317952
177,306189
178,290418
179,282977
180,275271
181,268200
182,263609
183,255525
184,243750
185,232224
186,219652
187,209591
188,201641
189,198073
190,192048
191,182822
192,173405
193,162152
194,156100
195,155094
196,154766
197,145102
198,139735
199,133685
200,128042
201,123055
202,119166
203,118240
204,116783
205,113288
206,109417
207,105879
208,105879
209,99840
210,99840
211,98858
212,98234
213,96123
214,94067
215,94067
216,94067
217,90756
218,89934
219,88703
220,87025
221,85303
222,85303
223,85303
224,82843
225,82621
226,81437
227,80679
228,79373
229,79373
230,79373
231,77783
232,69167
233,68389
234,67775
235,67140
236,67140
237,67140
238,65605
239,64956
240,64208
241,63830
242,63195
243,63195
244,63195
245,63195
246,62207
247,62044
248,61970
249,61440
250,61440
251,61440
252,60325
253,60131
254,59829
255,59760
256,59913
257,59913
258,59913
259,60022
260,60198
261,60489
262,60633
263,60921
264,61319
265,61175
266,61513
267,61910
268,61993
269,62084
270,62199
271,62487
272,62382
273,62388
274,62519
275,62540
276,63102
277,63360
278,63960
279,64181
280,64173
281,64263
282,64440
283,64390
284,63612
285,63450
286,63216
287,63097
288,62935
289,62171
290,61275
